sid,n_feature
AA3647,4
AD0995,15
AD7423,1
AG4726,5
AJ4867,3
BB9787,22
BQ9619,13
BV5253,1
CA5403,2
CN1899,0
CP3552,2
CV2259,1
CZ8543,1
DG8891,14
EG9983,4
FC1872,7
FU8225,1
FY4166,1
GH6341,1
GQ1734,3
GU1919,5
GU6025,5
GX9223,14
HX5970,3
IE6957,10
IM2797,15
IN8306,4
IU6507,5
JO5132,2
JT3562,10
JV6180,5
KC3589,30
LB6837,9
LE3531,6
LF7416,1
LK1412,12
LK9850,6
LP5610,17
LR8914,4
LW2976,1
MC4125,6
MF4494,3
MI7391,11
MS6327,7
MW8321,8
MZ1630,22
MZ8443,14
NI5331,1
NJ2495,3
NO3311,2
NQ2893,1
OI7391,4
ON5245,3
OO1393,4
OW3749,8
PC2323,10
PD0083,8
PJ7233,13
PO4872,8
QD7522,2
QF8858,3
RB6255,11
RF7455,8
SF1511,15
SF2758,4
SJ6514,5
SQ1354,4
TM3318,12
UB6989,5
UE9043,8
UQ2494,23
UW3592,1
UW7760,2
VR5641,30
VT2811,1
VX5065,1
WK2405,7
WP1054,34
WW2924,1
WW7335,4
WX3288,5
XF6879,5
XO2576,1
XY8495,1
YA3516,2
YE1058,1
YI6585,10
YM9532,5
YV4746,13
ZD6841,1
ZL2726,8
ZN4861,1
ZO9454,0
ZP1535,20
ZS3553,3
