sid,text,audio,face,hrv,eye,is_consistent
AA3647,1,1,1,1,1,True
AD0995,1,1,1,1,1,True
AD7423,1,1,1,1,1,True
AG4726,1,1,1,1,1,True
AJ4867,1,1,1,1,1,True
BB9787,1,1,1,1,1,True
BQ9619,1,1,1,1,1,True
BV5253,1,1,1,1,1,True
CA5403,1,1,1,1,1,True
CN1899,1,1,1,1,1,True
CP3552,1,1,1,1,1,True
CV2259,1,1,1,1,1,True
CZ8543,1,1,1,1,1,True
DG8891,1,1,1,1,1,True
EG9983,1,1,1,1,1,True
FC1872,1,1,1,1,1,True
FU8225,1,1,1,1,1,True
FY4166,1,1,1,1,1,True
GH6341,1,1,1,1,1,True
GQ1734,1,1,1,1,1,True
GU1919,1,1,1,1,1,True
GU6025,1,1,1,1,1,True
GX9223,1,1,1,1,1,True
HX5970,1,1,1,1,1,True
IE6957,1,1,1,1,1,True
IN8306,1,1,1,1,1,True
IU6507,1,1,1,1,1,True
JO5132,1,1,1,1,1,True
JT3562,1,1,1,1,1,True
JV6180,1,1,1,1,1,True
KC3589,1,1,1,1,1,True
LB6837,1,1,1,1,1,True
LE3531,1,1,1,1,1,True
LK1412,1,1,1,1,1,True
LK9850,1,1,1,1,1,True
LP5610,1,1,1,1,1,True
LR8914,1,1,1,1,1,True
LW2976,1,1,1,1,1,True
MC4125,1,1,1,1,1,True
MF4494,1,1,1,1,1,True
MI7391,1,1,1,1,1,True
ML6436,1,1,1,1,1,True
MS6327,1,1,1,1,1,True
MZ1630,1,1,1,1,1,True
MZ8443,1,1,1,1,1,True
NI5331,1,1,1,1,1,True
NJ2495,1,1,1,1,1,True
NO3311,1,1,1,1,1,True
NQ2893,1,1,1,1,1,True
OI7391,1,1,1,1,1,True
ON5245,1,1,1,1,1,True
OO1393,1,1,1,1,1,True
OW3749,1,1,1,1,1,True
PC2323,1,1,1,1,1,True
PJ7233,1,1,1,1,1,True
PO4872,1,1,1,1,1,True
QD7522,1,1,1,1,1,True
QF8858,1,1,1,1,1,True
QP4292,1,1,1,1,1,True
RB6255,1,1,1,1,1,True
RF7455,1,1,1,1,1,True
SF1511,1,1,1,1,1,True
SF2758,1,1,1,1,1,True
SJ6514,1,1,1,1,1,True
SQ1354,1,1,1,1,1,True
TM3318,1,1,1,1,1,True
UB6989,1,1,1,1,1,True
UE9043,1,1,1,1,1,True
UQ2494,1,1,1,1,1,True
UW3592,1,1,1,1,1,True
UW7760,1,1,1,1,1,True
VR5641,1,1,1,1,1,True
VT2811,1,1,1,1,1,True
VX5065,1,1,1,1,1,True
WK2405,1,1,1,1,1,True
WP1054,1,1,1,1,1,True
WW2924,1,1,1,1,1,True
WW7335,1,1,1,1,1,True
WX3288,1,1,1,1,1,True
XF6879,1,1,1,1,1,True
XO2576,1,1,1,1,1,True
XY8495,1,1,1,1,1,True
YA3516,1,1,1,1,1,True
YE1058,1,1,1,1,1,True
YH2501,1,1,1,1,1,True
YI6585,1,1,1,1,1,True
YM9532,1,1,1,1,1,True
YV4746,1,1,1,1,1,True
ZD6841,1,1,1,1,1,True
ZL2726,1,1,1,1,1,True
ZN4861,1,1,1,1,1,True
ZO9454,1,1,1,1,1,True
ZP1535,1,1,1,1,1,True
ZS3553,1,1,1,1,1,True
