sid,value,rounded_value
AA3647,1.0,1.0
AD0995,2.0,2.0
AD7423,1.0,1.0
AG4726,1.4,1.0
AJ4867,2.0,2.0
BB9787,1.2352941176470589,1.0
BQ9619,3.0,3.0
BV5253,2.0,2.0
CA5403,0.0,0.0
CN1899,2.0,2.0
CP3552,0.0,0.0
CV2259,1.0,1.0
CZ8543,1.0,1.0
DG8891,1.25,1.0
EG9983,1.5,2.0
FC1872,0.0,0.0
FU8225,2.0,2.0
FY4166,2.0,2.0
GH6341,2.0,2.0
GQ1734,0.3333333333333333,0.0
GU1919,1.0,1.0
GU6025,1.0,1.0
GX9223,2.5,2.0
HX5970,2.0,2.0
IE6957,0.7142857142857143,1.0
IM2797,0.7142857142857143,1.0
IN8306,1.75,2.0
IU6507,1.8,2.0
JO5132,1.0,1.0
JT3562,1.6666666666666667,2.0
JV6180,1.6,2.0
KC3589,1.1111111111111112,1.0
LB6837,1.6666666666666667,2.0
LE3531,1.0,1.0
LF7416,2.0,2.0
LK1412,2.0,2.0
LK9850,2.0,2.0
LP5610,1.4166666666666667,1.0
LR8914,2.0,2.0
LW2976,0.0,0.0
MC4125,2.0,2.0
MF4494,1.0,1.0
MI7391,1.4,1.0
MS6327,0.8571428571428571,1.0
MZ1630,1.5,2.0
MZ8443,1.9,2.0
NI5331,2.0,2.0
NJ2495,1.6666666666666667,2.0
NQ2893,3.0,3.0
OI7391,2.0,2.0
ON5245,1.0,1.0
OO1393,1.0,1.0
OW3749,2.7142857142857144,3.0
PC2323,1.0,1.0
PD0083,1.25,1.0
PJ7233,1.25,1.0
PO4872,1.8571428571428572,2.0
QD7522,2.0,2.0
QF8858,2.0,2.0
RB6255,1.5555555555555556,2.0
RF7455,1.625,2.0
SF1511,3.0,3.0
SF2758,2.0,2.0
SJ6514,0.0,0.0
SQ1354,2.0,2.0
TM3318,1.3333333333333333,1.0
UB6989,1.25,1.0
UE9043,2.0,2.0
UQ2494,1.4705882352941178,1.0
UW3592,0.0,0.0
UW7760,1.0,1.0
VR5641,0.0,0.0
VT2811,1.0,1.0
VX5065,1.0,1.0
WK2405,2.0,2.0
WP1054,1.7142857142857142,2.0
WW2924,2.0,2.0
WW7335,1.0,1.0
WX3288,2.0,2.0
XF6879,1.0,1.0
XO2576,2.0,2.0
XY8495,2.0,2.0
YA3516,1.0,1.0
YE1058,2.0,2.0
YH2501,1.0,1.0
YI6585,1.4285714285714286,1.0
YM9532,2.0,2.0
YV4746,1.9285714285714286,2.0
ZD6841,1.0,1.0
ZL2726,3.0,3.0
ZN4861,3.0,3.0
ZP1535,1.3333333333333333,1.0
ZS3553,1.0,1.0
