hash,tag,性別,年齡,工作年資,我有一定的天賦，不太容易改變。,我認為我的天賦難以再提升。,我可以學習新東西，但難以改善天賦。,平均分數,自評心態類型
331b2574d095875813c34e3a109ce0fd,WK2405,女,18-29歲,5年以上未滿10年,中立,不同意,中立,3.3333333333333335,標準固定心態
bad55510939dc5800425450e5e17fcfb,ZS3553,女,18-29歲,未滿1年,非常同意,非常不同意,非常同意,2.3333333333333335,偏固定心態
f09293a6150807cc4bbb0145c8f3005e,GX9223,男,30~39歲,5年以上未滿10年,不同意,非常不同意,不同意,4.333333333333333,標準成長心態
79c9f5091592792523163bace6a1fead,SF1511,女,18-29歲,3年以上未滿5年,不同意,不同意,不同意,4.0,標準成長心態
30d975d9200da7e7d0239b9c35cbd6b1,PJ7233,女,18-29歲,3年以上未滿5年,不同意,不同意,同意,3.3333333333333335,偏成長心態
9e2c058c125365fc47daa58c1d445670,AG4726,女,18-29歲,3年以上未滿5年,同意,不同意,中立,3.0,偏成長心態
13d4a6dfbaee01db6b0b27e70e28da32,YI6585,男,30~39歲,5年以上未滿10年,同意,中立,同意,2.3333333333333335,偏固定心態
c4fd001319ae1694763a2a1d51b166bb,VR5641,男,18-29歲,3年以上未滿5年,同意,同意,同意,2.0,偏固定心態
4f58dd173438c45a9064a5e213b1be54,UQ2494,男,18-29歲,5年以上未滿10年,同意,非常不同意,不同意,3.6666666666666665,偏成長心態
c9170abdbf023b750207807b5df9cda9,PO4872,女,18-29歲,5年以上未滿10年,中立,不同意,不同意,3.6666666666666665,偏成長心態
a73db2b35f2727ab67093aec388a05e4,RB6255,男,18-29歲,1年以上未滿3年,同意,不同意,不同意,3.3333333333333335,偏成長心態
1f81b0d9b0866e65093251c11e68aa2f,CV2259,女,60歲(含)以上,10年以上,不同意,不同意,不同意,4.0,標準成長心態
b613d72274061ee5d3936f880064d217,MS6327,男,30~39歲,5年以上未滿10年,同意,同意,同意,2.0,偏固定心態
10cd9ef653de3fba85cc35d29319b297,SF2758,女,18-29歲,未滿1年,同意,不同意,不同意,3.3333333333333335,偏成長心態
ca08afef53a0a4312be3050391f97e19,AD0995,女,18-29歲,3年以上未滿5年,不同意,中立,同意,3.0,偏成長心態
72a986ab3ce2f6f893330b76c5cca9cb,QF8858,女,30~39歲,5年以上未滿10年,中立,不同意,不同意,3.6666666666666665,偏成長心態
f20d55951fb17355ccd413d1c75c7314,CA5403,男,60歲(含)以上,10年以上,同意,不同意,不同意,3.3333333333333335,偏成長心態
430814fd5617f15a546e06ac292e1b03,YM9532,女,60歲(含)以上,10年以上,中立,不同意,不同意,3.6666666666666665,偏成長心態
48bbd6c82fad0a1847d898e2828568e4,ZN4861,男,18-29歲,1年以上未滿3年,同意,同意,同意,2.0,偏固定心態
1e88f3e2d7178c674c8d74f6f4639131,JV6180,女,30~39歲,5年以上未滿10年,同意,同意,同意,2.0,偏固定心態
